f1_reach,f1_sapm,f1_slpm,f1_stance,f1_stk_acc,f1_stk_def,f1_sub_avg,f1_td_acc,f1_td_avg,f1_td_def,f2_reach,f2_sapm,f2_slpm,f2_stance,f2_stk_acc,f2_stk_def,f2_sub_avg,f2_td_acc,f2_td_avg,f2_td_def,f1_wins,f1_losses,f2_wins,f2_losses,f1_age,f2_age
75.0,1.59,2.47,2,42,64,0.2,37,1.54,62,70.0,0.76,2.1,2,56,72,0.8,68,3.4,93,23,14,18,1,34,27
75.0,3.16,5.27,4,39,49,0.0,71,2.62,80,70.0,5.92,2.32,2,51,21,3.5,41,8.7,0,15,4,20,6,25,31
69.0,4.09,3.68,2,40,62,0.0,35,0.74,75,68.0,3.77,5.43,2,50,70,0.0,0,0.0,87,22,16,17,6,34,33
68.0,4.58,4.35,2,32,64,0.1,0,0.0,56,68.0,4.18,4.27,2,46,55,0.8,33,0.74,32,13,2,19,10,30,34
66.0,2.43,3.83,0,51,70,1.6,66,1.9,100,65.0,2.17,2.94,2,44,56,0.1,36,3.01,52,13,3,19,8,25,30
64.0,3.55,4.81,2,47,54,0.6,40,0.29,77,63.0,3.11,3.01,2,41,61,0.3,27,1.38,57,10,6,10,8,33,33
74.0,3.4,1.89,0,38,55,1.1,0,0.0,33,73.0,3.67,2.88,2,41,51,0.6,0,0.0,0,9,6,9,4,28,30
67.0,3.03,5.37,2,41,65,1.0,37,1.68,86,65.0,3.53,3.53,2,37,64,0.0,33,0.94,100,17,4,11,3,32,27
66.0,1.66,3.43,2,54,67,0.5,56,3.35,65,64.0,2.73,3.82,2,44,65,0.2,35,2.16,90,27,3,15,2,32,31
72.0,3.69,5.53,2,46,66,0.4,54,1.16,76,70.0,3.65,4.59,2,49,61,0.5,50,1.06,60,13,3,26,11,29,35
67.0,3.26,3.89,2,41,54,1.3,37,1.29,50,67.0,4.11,3.88,4,40,61,0.0,25,0.36,53,10,4,8,3,26,26
76.0,2.19,4.44,2,47,57,0.1,40,0.83,68,81.0,2.58,4.16,2,54,55,1.1,43,1.27,48,21,7,16,5,34,26
71.0,4.74,3.41,2,45,55,0.5,48,3.72,78,65.0,6.17,5.29,2,42,57,1.1,21,0.92,81,15,2,18,4,26,32
69.0,3.79,2.96,2,40,65,0.2,49,6.53,71,75.0,1.87,3.87,4,49,56,0.3,88,2.73,65,15,3,8,1,26,26
73.0,2.55,2.7,2,44,59,1.2,64,2.46,71,72.0,3.16,3.05,2,39,59,0.7,64,2.13,75,16,8,14,2,31,23
72.0,3.64,3.0,2,42,63,0.0,0,0.0,53,68.0,3.13,5.44,2,42,61,0.4,0,0.0,81,11,4,8,3,28,24
65.0,9.84,4.37,2,36,50,0.0,33,1.28,75,65.0,3.11,4.68,2,48,61,1.2,47,3.13,87,8,1,22,5,26,26
63.0,2.24,6.22,5,49,63,0.9,30,1.75,100,60.0,3.31,2.75,2,29,71,0.2,20,0.2,70,20,1,9,4,29,29
