weight_class,f1_reach,f1_stance,f1_weight,f2_reach,f2_stance,f2_weight,f1_wins,f1_losses,f1_draws,f2_wins,f2_losses,f2_draws,f1_age,f2_age,f1_height,f2_height,slpm_diff,sapm_diff,stk_atk_diff,stk_def_diff,stk_acc_diff,td_acc_diff,td_def_diff
10,76.0,2,170.0,78.0,2,170.0,14,3,0,12,3,0,29,28,72,75,-0.3500000000000001,2.04,-13,-4,-13,-23,-10
2,73.0,2,145.0,66.0,2,145.0,17,4,0,18,5,0,30,33,70,66,0.16000000000000014,-0.18999999999999995,-7,-1,-7,0,-50
11,68.0,4,145.0,68.0,2,135.0,10,4,0,9,5,1,36,41,66,66,-0.8900000000000001,-1.3000000000000003,20,-18,20,-35,-9
0,69.0,2,135.0,67.0,2,135.0,24,13,1,22,8,1,34,29,67,66,-0.10999999999999988,0.5699999999999998,-6,6,-6,8,13
2,71.0,2,145.0,71.0,2,145.0,21,1,0,25,8,0,30,34,66,70,2.8800000000000003,0.3400000000000003,21,6,21,-1,14
3,66.0,4,125.0,70.0,2,135.0,11,5,0,13,1,0,26,26,67,68,-1.1300000000000003,0.2100000000000002,-8,-9,-8,54,-18
2,67.0,2,135.0,70.0,2,155.0,14,1,0,17,7,0,31,32,67,71,1.2599999999999998,0.5699999999999994,11,17,11,35,30
13,64.0,2,125.0,66.0,2,125.0,17,6,1,13,7,0,30,34,64,66,1.27,1.27,-16,-8,-16,-1,10
3,65.0,2,135.0,67.0,4,125.0,11,3,0,6,2,0,24,26,66,65,1.4599999999999997,-1.0099999999999998,9,3,9,3,9
14,64.0,2,115.0,63.0,2,115.0,6,6,0,20,8,0,32,36,61,63,-0.8300000000000001,0.17999999999999972,-19,-1,-19,-4,33
5,76.0,2,205.0,76.0,2,205.0,32,14,0,26,11,1,30,37,76,73,-0.5699999999999998,1.6,-3,-11,-3,-22,4
5,76.0,2,205.0,79.0,2,205.0,30,7,0,14,4,0,39,29,74,75,-1.04,1.6599999999999997,-2,-5,-2,-12,-23
7,76.0,2,185.0,77.0,2,185.0,14,1,1,13,7,0,32,39,69,73,0.2200000000000002,-1.6800000000000002,-8,-1,-8,45,-25
4,84.0,2,265.0,78.0,2,249.0,33,12,0,17,6,0,30,33,83,75,-0.48,0.7999999999999998,-4,-6,-4,-11,-26
10,74.0,4,170.0,75.0,2,170.0,17,5,0,17,5,0,31,28,73,72,0.03000000000000025,-1.2400000000000002,3,-1,3,-16,-7
6,73.0,2,155.0,72.0,4,155.0,14,3,0,11,2,0,25,23,70,70,-2.3800000000000003,-0.79,-9,-17,-9,15,-14
6,70.0,2,155.0,66.0,4,155.0,13,5,0,14,5,0,32,34,69,66,0.3500000000000001,-0.6099999999999999,11,7,11,27,-43
10,74.0,5,170.0,75.0,2,170.0,9,4,1,14,3,0,30,32,71,72,0.020000000000000018,1.29,-32,-21,-32,-20,-32
2,70.0,2,145.0,69.0,2,135.0,12,3,0,14,2,0,31,26,68,65,1.1599999999999997,0.5099999999999998,-7,15,-7,41,12
5,80.0,2,205.0,78.0,2,205.0,9,2,0,12,1,0,30,26,76,76,-1.7999999999999998,2.83,-11,-2,-11,-10,-48
0,71.0,2,145.0,69.0,0,135.0,14,2,0,11,4,0,24,33,70,68,-0.20999999999999996,1.0000000000000002,9,-19,9,7,-64
5,72.0,5,205.0,76.0,2,205.0,15,8,0,13,3,0,27,26,72,72,-0.04999999999999982,1.0099999999999998,0,-10,0,-18,-33
0,72.0,2,135.0,70.0,2,135.0,13,6,0,10,6,0,25,28,66,65,0.74,0.44999999999999973,-5,2,-5,-15,12
6,69.0,2,155.0,72.0,4,155.0,29,6,0,25,6,0,34,29,69,69,-1.1899999999999995,0.4199999999999995,-8,-1,-8,-1,31
2,70.0,2,135.0,71.0,2,145.0,28,6,0,28,17,0,32,32,67,69,0.38000000000000034,0.20000000000000018,4,7,4,27,26
14,60.0,2,115.0,65.0,2,125.0,10,5,0,16,3,0,29,31,61,66,-2.1399999999999997,0.73,0,-3,0,-48,-29
6,72.0,2,155.0,70.0,4,155.0,11,2,0,12,5,0,26,29,69,69,0.5899999999999999,0.2799999999999998,-10,-5,-10,-3,-13
10,72.0,2,170.0,73.0,2,170.0,17,5,0,31,12,0,28,29,71,72,1.0699999999999998,0.4700000000000002,-5,-8,-5,-58,-35
2,73.0,2,145.0,72.0,2,145.0,11,1,1,16,6,0,27,27,68,72,0.7600000000000007,-4.07,5,2,5,-18,28
6,75.0,2,155.0,70.0,2,155.0,23,14,1,18,1,0,34,27,71,70,0.3700000000000001,0.8300000000000001,-14,-8,-14,-31,-31
5,75.0,4,205.0,70.0,2,205.0,15,4,0,20,6,0,25,31,73,71,2.9499999999999997,-2.76,-12,28,-12,30,80
6,69.0,2,155.0,68.0,2,155.0,22,16,0,17,6,0,34,33,68,68,-1.7499999999999996,0.31999999999999984,-10,-8,-10,35,-12
13,68.0,2,125.0,68.0,2,125.0,13,2,0,19,10,0,30,34,69,66,0.08000000000000007,0.40000000000000036,-14,9,-14,-33,24
3,66.0,0,125.0,65.0,2,125.0,13,3,1,19,8,0,25,30,66,65,0.8900000000000001,0.26000000000000023,7,14,7,30,48
14,64.0,2,115.0,63.0,2,115.0,10,6,0,10,8,1,33,33,65,64,1.7999999999999998,0.43999999999999995,6,-7,6,13,20
6,74.0,0,155.0,73.0,2,155.0,9,6,0,9,4,0,28,30,72,72,-0.99,-0.27,-3,4,-3,0,33
0,67.0,2,125.0,65.0,2,135.0,17,4,0,11,3,0,32,27,66,68,1.8400000000000003,-0.5,4,1,4,4,-14
3,66.0,2,125.0,64.0,2,135.0,27,3,1,15,2,0,32,31,63,64,-0.3899999999999997,-1.07,10,2,10,21,-25
2,72.0,2,145.0,70.0,2,145.0,13,3,1,26,11,0,29,35,71,68,0.9400000000000004,0.040000000000000036,-3,5,-3,4,16
14,67.0,2,115.0,67.0,4,125.0,10,4,0,8,3,0,26,26,65,65,0.010000000000000231,-0.8500000000000005,1,-7,1,12,-3
7,76.0,2,205.0,81.0,2,185.0,21,7,0,16,5,0,34,26,74,75,0.28000000000000025,-0.3900000000000001,-7,2,-7,-3,20
0,71.0,2,135.0,65.0,2,135.0,15,2,0,18,4,0,26,32,67,66,-1.88,-1.4299999999999997,3,-2,3,27,-3
0,69.0,2,135.0,75.0,4,135.0,15,3,0,8,1,0,26,26,66,70,-0.9100000000000001,1.92,-9,9,-9,-39,6
0,73.0,2,135.0,72.0,2,135.0,16,8,0,14,2,0,31,23,69,69,-0.34999999999999964,-0.6100000000000003,5,0,5,0,-4
2,72.0,2,145.0,68.0,2,145.0,11,4,0,8,3,0,28,24,68,67,-2.4400000000000004,0.5100000000000002,0,2,0,0,-28
3,65.0,2,125.0,65.0,2,135.0,8,1,0,22,5,0,26,26,64,66,-0.3099999999999996,6.73,-12,-11,-12,-14,-12
14,63.0,5,115.0,60.0,2,115.0,20,1,0,9,4,0,29,29,64,60,3.4699999999999998,-1.0699999999999998,20,-8,20,10,30
0,69.0,2,135.0,70.0,5,135.0,10,7,0,15,5,1,29,26,69,68,-1.8000000000000003,-0.8599999999999999,-5,3,-5,4,3
6,70.0,2,155.0,76.0,2,155.0,21,2,0,13,5,0,30,31,71,75,4.44,6.359999999999999,16,-6,16,-33,23
2,74.0,2,145.0,73.0,4,155.0,20,6,0,20,15,0,28,32,71,70,-0.13999999999999968,-0.06000000000000005,0,-5,0,1,-9
14,67.0,2,115.0,64.0,2,115.0,8,7,0,10,7,0,31,33,67,63,-1.08,-0.5699999999999994,-12,-12,-12,-6,-35
10,71.0,2,170.0,72.0,4,170.0,31,15,0,14,7,0,33,29,69,72,-3.18,-2.17,-9,16,-9,14,39
3,68.0,2,125.0,66.0,2,125.0,17,1,0,19,7,0,31,34,65,66,-0.1299999999999999,-0.1499999999999999,9,-3,9,24,15
7,76.0,2,185.0,75.0,4,205.0,15,5,0,13,4,0,32,31,74,73,0.009999999999999787,-0.6000000000000005,-7,-4,-7,0,24
10,73.0,2,170.0,72.0,2,170.0,26,8,0,14,4,0,32,27,74,71,1.8200000000000003,0.3299999999999996,2,11,2,-34,-25
0,71.0,4,135.0,70.0,5,135.0,35,10,0,12,1,0,38,26,69,71,-4.42,-1.37,-3,-9,-3,12,33
7,74.0,2,185.0,73.0,2,185.0,12,5,0,11,3,0,30,30,73,73,1.7400000000000002,0.96,-5,-2,-5,7,20
10,73.0,2,170.0,74.0,5,170.0,17,7,0,6,2,0,37,26,72,74,1.3099999999999996,-0.8000000000000003,-4,14,-4,-18,-6
13,65.0,2,125.0,67.0,5,125.0,14,4,0,18,8,1,33,32,66,67,3.9600000000000004,2.8699999999999997,-9,8,-9,-10,35
